,"Number of suspected meningitis cases reported","Number of suspected meningitis cases reported","Number of suspected meningitis cases reported","Number of suspected meningitis cases reported","Number of suspected meningitis cases reported","Number of suspected meningitis cases reported"
"Country","2014","2013","2012","2011","2010","2009"
"Benin","711","833","1165","269","323","416"
"Burkina Faso","3476","2917","6957","3875","6732","4723"
"C̫te d'Ivoire","196","255","500","141","146","284"
"Cameroon","1156","1010","542","2548","835","1001"
"Central African Republic","169","210","266","361","477","289"
"Chad","235","371","3874","5960","3228","1460"
"Democratic Republic of the Congo","10109","9339","10141","5176","8276","4842"
"Ethiopia","1744","","150","229","No data","114"
"Gambia","214","248","200","","",""
"Ghana","448","454","739","773","1164","302"
"Guinea","582","480","196","","84","81"
"Mali","327","358","688","430","482","335"
"Mauritania","1","14","41","","",""
"Niger","327","311","314","1214","2908","13449"
"Nigeria","1175","871","1206","1165","4983","56128"
"Senegal","102","379","894","","",""
"South Sudan","111","259","","","",""
"Sudan","207","1110","524","","2240",""
"Togo","351","266","408","440","460","350"
