Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,326,473,489,590,644,786,933,1001,906,818,1127 
Anguilla,,2,3,3,0,0,1,2,,3,1,2,3,2,4,3 
Antigua and Barbuda,,39,36,27,,,29,62,31,27,30,14,29,22,25,31 
Argentina,,53685,52136,48905,49542,48540,45142,43159,48115,40201,41323,41206,41371,35999,35874,31967 
Armenia,2126,1862,1645,1613,1702,1653,1785,1792,,2008,,,1561,1462,1228,1416 
Aruba,,42,25,44,37,34,44,16,23,17,23,24,18,21,27,18 
Australia,,13778,12470,13260,12518,11961,11045,11275,11623,10877,,11633,11828,11640,10622,10988 
Austria,,3734,3950,3963,4055,4216,4221,4130,4552,4401,4670,4490,5111,4090,3914,4087 
Azerbaijan,,,,,,,,,3067,,,3210,3192,3200,3519,4207 
Bahamas,,,94,123,108,112,108,81,87,85,100,68,74,130,122,80 
Bahrain,,83,97,128,153,100,176,186,173,127,142,123,144,118,105,79 
Barbados,,,202,220,216,196,196,234,238,232,273,191,230,183,117,174 
Belarus,,1865,2138,,3117,3540,4117,4028,4682,,,,4951,6352,6515,6686 
Belgium,,,11362,11327,10472,10872,11278,11416,11333,11067,12153,11209,12757,12108,11216,11985 
Belize,,145,137,124,152,132,126,104,106,120,124,126,139,127,125,125 
Bermuda,23,21,27,27,23,57,44,35,22,19,31,30,32,26,24,42 
Bolivia,,,,,,,,,,,,,1595,1286,1120,1061 
Bosnia and Herzegovina,,1371,,,1250,,,,,,,,,,, 
Brazil,,138968,137808,127182,126658,119103,114522,105070,104483,102853,97325,102143,97572,94541,90092,88312 
British Virgin Islands,,,,,,11,6,6,,2,,4,2,4,5,2 
Brunei Darussalam,,147,144,97,102,101,99,132,121,113,122,91,133,115,112,90 
Bulgaria,,,3512,3974,4012,4069,4154,4466,4540,4181,4469,3192,3468,3329,3696,4500 
Canada,,,,22139,22084,20757,21296,20728,20518,19069,20485,19607,18472,17761,17585,17744 
Cabo Verde,,,,,233,,,,,,,,,,, 
Cayman Islands,,,17,,,10,13,8,15,11,17,23,8,12,9,10 
Chile,,10448,10268,10118,9104,9993,8933,8057,9103,7691,8005,8344,7430,7688,8531,8287 
Colombia,,,22527,21067,20538,21108,19765,20018,19321,19639,19315,17792,18128,15573,16536,15192 
Costa Rica,,1846,1677,1608,1510,1727,1340,1294,1448,1361,1438,1583,1564,1285,1553,1499 
Croatia,2663,2227,2144,2152,2052,1957,2263,2249,2636,2494,3180,2895,2662,2105,1939,2043 
Cuba,,10155,9750,8916,9005,8510,8360,8853,8797,8791,9788,9539,8820,7703,9967,8281 
Cyprus,,,424,424,361,359,395,356,389,343,364,350,,,,349 
Czech Republic,7478,6210,6833,5882,5690,6151,6393,5736,5715,5669,6040,4755,5286,4713,4653,4959 
Denmark,,5522,6046,5706,5723,5828,6045,5622,5658,5253,5221,5415,5859,5823,5339,5222 
Dominica,,34,42,38,45,42,43,59,57,58,50,49,36,42,40,22 
Dominican Republic,,,,3196,2736,2627,2044,1972,1940,1919,2354,2103,1858,1532,1458,1296 
Ecuador,,6220,6354,6183,5368,5634,5244,5368,5024,5062,4809,5252,4568,5259,4881,4576 
Egypt,,40669,40420,40634,33296,33983,32118,32078,32191,30456,31053,33301,35201,30522,29590,31427 
El Salvador,,,2664,2317,2414,2616,2715,2653,2556,2618,2732,2646,2692,2281,2835,2260 
Estonia,,550,517,451,417,425,447,489,477,496,473,574,617,578,579,609 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, 
Fiji,,,,394,375,,358,370,296,411,346,409,440,372,426, 
Finland,,1837,1893,2026,2034,1988,2210,1980,2233,2126,2467,2971,3667,3865,3839,4293 
France,,,36830,38099,34059,32028,33932,32676,32022,30605,35056,30284,35973,33607,32081,35666 
French Guiana,,,29,39,30,22,30,32,28,24,21,30,21,21,20, 
Georgia,,1341,1142,1025,1139,542,766,,869,850,721,2794,,,940,1088 
Germany,,58604,64918,60454,60019,60515,63304,59049,57956,54888,57742,52500,58014,53646,48535,51806 
Greece,,,10924,11384,10335,10341,10770,10239,10229,8855,8209,7611,7430,7650,7021,7994 
Grenada,73,80,67,65,68,72,58,76,70,44,69,80,80,100,61, 
Guadeloupe,,,126,141,139,137,149,130,113,116,123,109,95,133,112,115 
Guatemala,,8983,9552,8757,9185,9502,9354,9483,9629,10127,11060,11306,11193,11310,12111,12044 
Guyana,,,,271,274,343,223,245,253,260,255,285,255,338,342, 
Haiti,,,,,,,,,,,,77,416,353,398, 
Honduras,,,624,539,561,572,503,525,,,,,,,, 
Hong Kong SAR,,,9281,9632,8822,8567,7857,8141,7587,6610,7076,6319,6457,5676,5533,5627 
Hungary,,6908,7009,6790,6594,6254,6466,6231,6771,6287,6502,5215,5439,4701,4334,5168 
Iceland,166,159,174,152,177,196,175,184,157,150,181,141,146,144,142,170 
Iraq,,,,,,,,3927,,,,,,,, 
Ireland,,,3504,3497,3438,3180,3693,3522,3324,4078,4048,4079,4454,4344,4472,4863 
Israel,,3411,3172,3349,3168,2907,2935,3200,3272,2956,2980,2637,2573,2666,2432,2910 
Italy,,,,43444,40559,38798,39949,37771,37812,35751,,,40852,35941,33826,37782 
Jamaica,,,,,834,922,986,,,764,1000,963,1039,1006,1011,1001 
Japan,,202628,203673,201798,198395,187609,175028,175976,168078,162907,165999,149293,147848,136891,134005,134501 
Jordan,,,,1030,941,830,931,819,,,,,,,, 
Kazakhstan,18421,16574,16101,9618,8626,7108,7724,7758,8691,8245,8889,8752,10304,9785,9716,10566 
Kiribati,,,,,,,,,,,,,,,47,26 
Kuwait,,577,547,419,367,355,395,287,306,273,244,214,233,221,217,203 
Kyrgyzstan,1839,2192,2169,2536,2602,2861,3005,3372,3588,3996,3835,3882,4548,4146,3723,4427 
Latvia,,696,831,709,726,663,650,725,880,913,925,801,822,851,784,856 
Lithuania,1357,1179,1470,1255,1243,1280,1561,1684,1953,1710,1736,1630,1635,1613,1473,1560 
Luxembourg,,257,276,278,306,266,304,272,282,257,270,284,381,357,285,286 
Macau,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,9447,8199,7453,7270,7053,6695,6403,6193,5584 
Maldives,,,,,128,103,,158,138,,46,73,110,113,80,41 
Malta,,311,344,288,232,293,302,298,281,283,305,323,338,351,361,291 
Martinique,,,137,,142,144,132,143,158,122,133,118,139,154,137,140 
Mauritius,,907,795,739,695,730,735,565,571,659,745,647,715,670,703,723 
Mayotte,,,18,18,0,,,,,,,,,,, 
Mexico,,54535,50599,47389,46517,49995,48789,45139,42622,42252,43307,40841,40137,39065,37280,38536 
Monaco,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,275,247,236,254,235,231,274,243,266,219 
Montserrat,5,6,1,3,2,1,0,2,1,3,0,0,4,4,4,4 
Morocco,,,,2330,2396,2379,2709,2316,,,,,,,, 
Netherlands,12677,10454,12269,14477,13317,13016,13962,13789,13536,13731,14315,12755,14242,13511,13378,14677 
Netherlands Antilles,,,,,,,,,,,,,,,,53 
New Zealand,,,,2821,2723,2457,2562,2624,2341,2385,2151,2466,2358,2383,2431,2053 
Nicaragua,,,1715,1632,1429,1582,1452,1750,1425,1258,1308,1047,1114,1060,874,933 
Norway,,3750,4024,4267,4026,3881,4122,4118,4242,3962,4081,3494,3941,4669,4332,4384 
Occupied Palestinian Territory,,361,348,308,556,556,543,507,,,,,,,, 
Oman,,,,,,394,268,,,,,,,,, 
Panama,,1815,1918,1772,1546,1855,1304,1514,1411,1133,1413,1143,985,978,959,811 
Paraguay,,1667,1699,1675,1794,1792,1781,1217,1412,1285,1326,1529,1303,1164,1245,1325 
Peru,,20274,22094,21618,20852,21199,20013,18015,15549,14477,15107,16560,15538,14030,14640,11764 
Philippines,,,,,76568,73101,69749,65777,60381,59736,,,53831,56413,53778,51410 
Poland,,20371,22947,20148,19976,19333,20652,19297,19422,18467,18547,16870,17330,15537,15758,18310 
Portugal,,12164,12627,13908,11930,11792,12202,11580,10967,,,,9553,9250,8976,10279 
Puerto Rico,,2564,2404,2411,2481,2728,2914,2759,2828,2671,2976,2876,2829,2692,2998,2832 
Qatar,,115,93,74,69,76,84,65,59,62,63,80,,,51, 
Republic of Korea,,,22490,22770,19932,18528,17023,16018,14864,14210,14208,14168,14448,16544,15616,16056 
Republic of Moldova,1834,1707,1711,1736,1902,2433,2308,2460,2580,2613,2844,2497,2854,2693,2345,2527 
Reunion,,,292,279,251,304,273,266,285,256,305,247,279,306,255, 
Rodrigues,,20,13,18,13,21,18,9,15,22,15,16,,21,19, 
Romania,14992,13388,12690,13254,12460,12732,12891,12310,12657,12673,13350,13678,14058,15325,14088,14822 
Russian Federation,,,,,74219,74808,79462,79493,77947,82761,94736,92954,101124,101003,94922,102141 
Saint Kitts and Nevis,,,,13,13,11,20,13,19,11,19,37,35,29,44,36 
Saint Lucia,,101,64,72,64,74,58,86,,60,109,93,55,61,68,50 
Saint Pierre and Miquelon,,,,,,0,5,6,,1,1,,,,, 
Saint Vincent and the Grenadines,67,52,33,45,49,69,67,55,43,43,54,45,45,64,28,38 
San Marino,12,,,,,,,,,,4,,,9,,11 
Sao Tome and Principe,,,,,,,,,,,,,,,, 
Saudi Arabia,,,,1926,,,2070,,,,,,,,, 
Serbia,,5069,4833,4975,5032,4103,4203,3937,4026,3761,4256,3868,3682,3529,3526,4752 
Seychelles,,95,117,99,113,85,64,94,78,76,91,61,66,56,61, 
Singapore,4294,4077,3918,3580,3380,3325,3082,2862,2833,2803,2994,2752,2884,2663,2145,2401 
Slovakia,,2728,3032,3031,,3309,3171,2977,3156,2954,3109,2953,3116,2907,2725,2909 
Slovenia,1306,,1335,1384,1190,1119,1263,1142,1061,1238,1399,1460,1570,1406,1339,1470 
South Africa,,45225,47527,53000,60913,67569,75147,77599,82885,85970,78308,76205,74508,62735,55673,45082 
Spain,,43841,42565,47336,42243,40266,43282,44200,44029,39510,47089,39149,43803,41427,37362,40983 
Sri Lanka,,,,,,,,,,11588,,,9637,8206,8476,8575 
Suriname,,202,195,171,178,178,139,133,156,140,132,128,132,122,121,138 
Sweden,6401,5552,6085,6163,5700,5057,5746,5848,5696,5645,6210,5746,6256,6578,6080,6719 
Switzerland,,,4116,3906,3733,3726,4084,3641,3733,3686,4271,3848,4145,4062,3734,4625 
Syrian Arab Republic,,,,,,12193,10232,7443,5275,3142,2933,2969,2598,2648,2456,2305 
Tajikistan,,,,,,,,,,,2747,2840,3139,3289,3682,3621 
TFYR Macedonia,,,665,795,741,711,670,735,706,691,721,682,707,592,536,622 
Thailand,,39637,33833,32239,32057,29654,26208,26356,25414,24120,24965,23074,27004,25251,,21101 
Trinidad and Tobago,,,,,,503,498,545,467,468,507,546,564,466,371,392 
Tunisia,,,1310,,,,1670,,,,,,,,, 
Turkey,,,35150,31024,31383,24418,24996,,,,,,,,, 
Turkmenistan,,1913,1719,1448,1563,1518,2001,1995,1790,1493,1638,1744,1859,1988,2359,2570 
Turks and Caicos Islands,,6,3,,,,4,4,2,2,6,8,7,0,4,2 
Ukraine,,14810,,17109,17871,19480,21089,23276,25075,24736,27998,28486,30250,31825,33471,37899 
United Arab Emirates,,,,,,650,606,563,533,451,379,,,,, 
United Kingdom,,,83386,79918,76419,76065,76696,81322,78388,77809,81398,78155,84548,78901,75964,102056 
United States of America,,258333,261071,246311,248742,237467,238684,245099,227320,226662,239674,227085,235924,234629,230009,231079 
Uruguay,,3117,3337,3526,,3476,3138,2866,3495,2845,3032,3109,3048,2663,2998,2462 
Uzbekistan,,7453,8386,8601,8978,8431,8885,,,,11457,11040,12558,13784,13801,15706 
Venezuela (Bolivarian Republic of),,,10794,9829,9652,8937,8281,8181,7826,7470,7532,7331,8044,6411,7464,6316 
Virgin Islands (USA),,,,30,22,17,27,17,34,24,30,25,26,35,21,21 
Zimbabwe,,,,,,,,,,,,,,,, 
