Region,Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Europe,Albania,2889173,2893661,2896655,2900253,2904784,2913029,2927522,2947320,2970021,2992551,3011490,3127263,3102764,3084150,3069275,3114000 
The Caribbean,Anguilla,,,,,,,,,,,,,,,, 
The Caribbean,Antigua and Barbuda,,90900,89985,89069,,,86300,85350,84397,83467,82565,81718,80904,80030,78972,77648 
South America,Argentina,,42980026,42538304,42095224,41655616,41222875,40798641,40381860,39969903,39558750,39145491,38728778,38309475,37889443,37471535,37057453 
Asia,Armenia,3004588,3013839,3021979,3024127,2967984,2963496,3243729,3234031,,3002161,3217534,3214030,3211267,3211604,3801222,3802400 
The Caribbean,Aruba,,103441,102921,102393,101936,101597,101416,101342,101218,100830,100031,98742,97015,94995,92894,90858 
Oceania,Australia,,23460694,23117353,22728254,22340024,22297515,21951736,21498540,21072452,20394791,20127363,20132756,19872646,19666322,19413240,19153380 
Europe,Austria,,8543932,8477230,8426311,8388534,8361069,8341483,8321541,8295189,8267948,8225278,8169441,8118245,8082121,8042293,8011566 
Asia,Azerbaijan,,,,,,,,,8581300,,8391850,8306500,8234100,8171950,8111200,8048600 
The Caribbean,Bahamas,,,377841,372388,366711,360830,354780,348587,342259,335801,329243,322539,315757,309170,303138,297891 
Middle East,Bahrain,,1314562,1349427,1333577,1195020,1228285,1178415,1103496,1039300,960422,888844,807989,761595,725365,694893,666855 
The Caribbean,Barbados,,,282503,281580,280602,279566,278466,277315,276154,275040,274013,273091,272261,271479,270686,269838 
Europe,Belarus,,9474511,9465997,9464495,9473172,9490583,9668120,9680841,9702116,9732501,9775307,9824568,9873826,9924766,9970688,10004958 
Europe,Belgium,,,11178436,11094850,11000638,10839905,10796493,10709973,10625701,10547959,10478617,10421137,10376133,10332785,10286570,10251250 
Central America,Belize,,351706,344193,336707,329193,321609,313925,306165,298403,290751,283279,276085,269132,262202,254989,247312 
Northern America,Bermuda,,,,,,,,,,,,,,,,
South America,Bolivia,,,,,,,,,,,,,,,,
Europe,Bosnia and Herzegovina,,3827343,,3836377,3839737,3843126,,,,,,,,,, 
South America,Brazil,,206077898,204259377,202401584,200517584,198614208,196701298,194769696,192784521,190698241,188479240,186116363,183627339,181045592,178419396,175786441 
The Caribbean,British Virgin Islands,,,,,,,,,,,,,,,, 
Asia,Brunei Darussalam,,417394,411499,399800,422700,414400,387080,380786,374459,383000,370100,359700,349600,344200,332844,330554 
Europe,Bulgaria,,7223937,7265115,7305888,7416046,7534289,7585131,7623395,7659764,7699020,7739900,7781161,7823557,7868900,7913301,8170172 
Northern America,Canada,,,,34868151,34499905,34126173,33746559,33363256,32982275,32611436,32299496,31989454,31669150,31372587,31021251,30790834 
Africa,Cabo Verde,,,,,495159,,,,,,,,,,, 
The Caribbean,Cayman Islands,,,,,,,,,,,,,,,, 
South America,Chile,,17762647,17575833,17388437,17201305,17015048,16829957,16645940,16462701,16279728,16096571,15913119,15729268,15544554,15358418,15170387 
South America,Colombia,,,47342363,46881018,46406446,45918101,45416276,44901660,44374647,43835744,43285636,42724157,42152147,41572493,40988909,40403959 
Central America,Costa Rica,,4757606,4706433,4654148,4600487,4545273,4488261,4429506,4369465,4308790,4247843,4187039,4125970,4063208,3996800,3925450 
Europe,Croatia,8480634,4238389,4255689,4267558,4402788,4417781,4429078,4434508,4435982,4440022,4441946,4439400,4441800,4443200,4437460,4381400 
The Caribbean,Cuba,,11379111,11362505,11342631,11323570,11308133,11297442,11290239,11284043,11275199,11261052,11240680,11214837,11184540,11151472,11116787 
Europe,Cyprus,,853166,861930,863942,848964,834454,812847,791150,771688,755266,742836,732149,722357,713720,,943287 
Europe,Czech Republic,21086372,10524783,10510719,10509286,10496672,10517247,10491492,10429692,10322689,10266646,10234092,10206923,10201651,10200774,10287482,10272503 
Europe,Denmark,,5639719,5608784,5587085,5566856,5543819,5519441,5489022,5457415,5434567,5415978,5401177,5387174,5374255,5355082,5337344 
The Caribbean,Dominica,,,,,,,,,,,,,,,, 
The Caribbean,Dominican Republic,,,,,,,,,,,,,,,, 
South America,Ecuador,,15902916,15661312,15419493,15177280,14934692,14691310,14447600,14205479,13967490,13735232,13509645,13289600,13072056,12852753,12628596 
Africa,Egypt,,86811192,87613909,85660902,83787634,82040994,80442443,75097301,73435640,72010572,70668129,69330423,72247626,70908710,69599945,68334905 
Central America,El Salvador,,,6089644,6072233,6055208,6038306,6021368,6004199,5986414,5967556,5947206,5925089,5900929,5874301,5844738,5811836 
Europe,Estonia,,1314545,1317997,1329302,1327439,1331475,1334515,1337090,1340680,1346810,1354775,1362550,1370720,1379350,1388115,1396985 
South America,Falkland Islands (Malvinas,,,,,,,,,,,,,,,, 
Oceania,Fiji,,,,874158,867327,,851854,843206,834729,827390,821820,818355,816626,815691,814215, 
Europe,Finland,,5461512,5438972,5413971,5388272,5363352,5338871,5313399,5288720,5266268,5246096,5228172,5213014,5200599,5188008,5176209 
Europe,France,,,63781775,63519077,63224445,62932343,62615899,62304840,61963276,61597642,60995911,60643307,60154851,59678253,59192597,58895702 
South America,French Guiana,,,254283,247176,238599,233795,227731,222038,216382,210301,203495,195808,187419,178785,170546, 
Asia,Georgia,,3727000,4487200,4490700,4483400,4469200,4410900,4383750,4388400,4398000,4361400,4318350,4328900,4357050,4386450,4418300 
Europe,Germany,,80982500,80645605,81917349,81779210,81757471,81874770,82119776,82262642,82365810,82464344,82501274,82520176,82482309,82339777,82187614 
Europe,Greece,,,10965241,11092783,11300025,11307557,11282751,11237068,11192849,11148533,11103929,11061735,11023532,10987559,10949953,10917457 
The Caribbean,Grenada,213650,106349,105902,105476,105070,104677,104298,103934,103587,103259,102951,102657,102371,102100,101849, 
The Caribbean,Guadeloupe,,,463536,460965,403975,456822,455536,454680,453904,452714,450761,447936,444360,440202,435730,431157 
Central America,Guatemala,,16015494,15690793,15368759,15049280,14732261,14418033,14106687,13797629,13490041,13183505,12877711,12573346,12272208,11976725,11688660 
South America,Guyana,,,,758410,755883,753362,750749,748096,745638,743705,742495,742162,742537,743107,743163, 
The Caribbean,Haiti,,,,,,,,,,,,,,,, 
Central America,Honduras,,,,,,,,,,,,,,,, 
Asia,Hong Kong SAR,,,7187500,7154600,7071600,7024200,6972800,6957800,6916300,6857100,6813200,6783500,6730800,6744100,6714300,6665000 
Europe,Hungary,,9866468,9893082,9920362,9971727,10000024,10022650,10038188,10055780,10071370,10087065,10107145,10129551,10158607,10187575,10024221 
Europe,Iceland,330815,327386,323764,320716,319014,318041,319246,319355,311396,304334,295864,292587,289272,287559,285054,281154 
Middle East,Iraq,,,,,,,,,,,,,,,, 
Europe,Ireland,,,4593125,4585407,4574888,4617334,4459305,4422077,4339026,4239830,4130722,4043763,3978862,3917203,3847198,3789536 
Middle East,Israel,8380149,8215668,8059456,7910525,7765832,7623561,7485565,7308796,7180115,7053707,6930128,6808968,6689750,6569957,6439042,6289206 
Europe,Italy,,,,59539725,59379462,60483386,60192698,59832179,59375289,58941499,,58175310,57604658,57157407,56960692,56923524 
The Caribbean,Jamaica,,,,,2752358,2741253,2729575,,,2691444,2677888,2664049,2649825,2634779,2618325,2600095 
Asia,Japan,,125432000,125704000,125958000,126180000,126381728,125820000,125947000,126085000,126154000,126204902,126176000,126140000,126008000,125908000,125612633 
Middle East,Jordan,,,,,,,,,,,,,,,, 
Asia,Kazakhstan,17544126,17289110,17035276,16791428,16548776,16323287,15924939,15673998,15484192,15308084,15147029,15012985,14909018,14854233,14861218,14869021 
Oceania,Kiribati,,,,,103466,,,,,,,,,,85858,84406 
Middle East,Kuwait,,4039445,3891929,3806643,3632009,3566437,3442945,3640427,3328136,2389498,2263604,2166344,2095993,2363325,2243080,2189668 
Asia,Kyrgyzstan,5957271,5835816,5719852,5607511,5514754,5447960,5383277,5250137,5207040,5164206,5115750,5065027,5010844,4965435,4927048,4887550 
Europe,Latvia,,1993782,2012647,2034319,2059709,2097555,2141669,2177322,2200325,2218357,2238799,2263122,2287955,2310173,2337170,2367550 
Europe,Lithuania,2904910,2932367,2957689,2987773,3028115,3097282,3162916,3198231,3231294,3269909,3322528,3377075,3415213,3443067,3470818,3499536 
Europe,Luxembourg,,556319,543360,530961,518348,506966,497793,488661,480006,472650,465168,458108,451640,446184,441800,438810 
Asia,Macau,,,,,,,,,,,,,,,, 
Asia,Malaysia,,,,,,,,,,,,,,,, 
Asia,Maldives,,,,,338618,332575,,321026,315515,,304968,299917,294996,290147,285298,280384 
Europe,Malta,,427421,423431,419507,416318,414562,412530,409429,406778,405355,403879,401267,398582,395968,393028,385809 
The Caribbean,Martinique,,,395662,,390328,394690,395138,395920,396748,397224,397056,396182,394685,392601,390015,387018 
Africa,Mauritius,,1219265,1217341,1253000,1248126,1243084,1242954,1230995,1223089,1215619,1206346,1196696,1186363,1174021,1163875,1151094 
Africa,Mayotte,,,227348,221123,214924,,,,,,,,,,, 
Central America,Mexico,,125385833,123740109,122070963,120365271,118617542,116815612,114972821,113139374,111382857,109747906,108257822,106888418,105578297,104239563,102808590 
Europe,Monaco,,,,,,,,,,,,,,,, 
Asia,Mongolia,,,,,,,,,,,,,,,, 
Europe,Montenegro,,,,,,,631536,628805,626189,624241,623278,622118,620279,619300,619300,619300 
The Caribbean,Montserrat,,,,,,,,,,,,,,,, 
Africa,Morocco,,,,,,,,,,,,,,,, 
Europe,Netherlands,16939924,16804432,16804432,16754962,16693074,16615394,16530388,16445594,16381696,16346242,16320010,16281779,16225303,16148929,16046180,15925513 
Central America,Netherlands Antilles,,,,,,,,,,,,,,,, 
Oceania,New Zealand,,,,4432300,4405000,4367360,4315470,4268510,4228150,4184500,4134080,4087130,4008700,3938800,3880400,3857250 
Central America,Nicaragua,,,,,,,,,,,,,,,, 
Europe,Norway,,5137429,5080166,5018573,4953088,4889253,4828726,4768212,4709153,4660677,4623294,4591914,4564855,4538160,4513752,4469976 
Middle East,Occupied Palestinian Territory,,,,,,,,,,,,,,,, 
Middle East,Oman,,,,,,2943747,2762073,,,,,,,,, 
Central America,Panama,,3867535,3805683,3743761,3681979,3620506,3559401,3498679,3438398,3378600,3319301,3260611,3202511,3144728,3086887,3028751 
South America,Paraguay,,6552518,6465669,6379162,6293763,6209877,6127847,6047131,5966160,5882797,5795493,5703742,5607948,5508615,5406625,5302703 
South America,Peru,,,,,,,,,,,,,,,, 
Asia,Philippines,,,,,94501233,93038902,91641881,90297115,88965508,87592899,,,82971734,81294378,79604541,77932247 
Europe,Poland,,38006154,38031632,38059134,38051032,38042403,38153389,38115909,38115967,38132277,38161313,38180249,38195177,38232301,38250790,38255945 
Europe,Portugal,,10402343,10457295,10514844,10557560,10573100,10568247,10558177,10542964,10522288,10503331,10483862,10458822,10419631,10362722,10289898 
The Caribbean,Puerto Rico,,3686517,3690591,3695674,3701997,3709671,3718473,3728126,3738549,3749653,3761143,3773183,3785101,3794756,3799366,3796981 
Middle East,Qatar,,2172065,2101288,2015624,1905437,1765513,1591151,1388962,1178955,988448,836924,732096,,,595321, 
Asia,Republic of Korea,,50763158,50558952,50345325,50111476,49879812,49656756,49404648,49130354,48887027,48683040,48485314,48308386,48125746,47877051,47534119 
Europe,Republic of Moldova,3554108,3556397,3558566,3559519,3559986,3562045,3565604,3570108,3576910,3585209,3595187,3603945,3612874,3623062,3631462,3639592 
Africa,Reunion,,,849231,843222,831263,830516,823691,816517,808870,800598,791602,781838,771350,760237,748649, 
Africa,Rodrigues,,41668,41312,38167,37925,37840,,37570,37314,37079,36907,36690,,,, 
Europe,Romania,22242738,22299730,22359849,21316420,21354396,21431298,21469959,21504442,21537563,21584365,21623849,21673328,21733556,21794793,22408393,22435300 
Europe,Russian Federation,,,,,142960908,142849468,141909244,141956409,142114904,142487260,143113885,143821213,143452532,142902918,143769726,144500464 
The Caribbean,Saint Kitts and Nevis,,,,,,,,,,,,,,,, 
The Caribbean,Saint Lucia,,183645,182305,180890,179278,177397,175196,172729,,167656,165407,163462,161767,160218,158650,156949 
Northern America,Saint Pierre and Miquelon,,,,,,,,,,,,,,,, 
The Caribbean,Saint Vincent and the Grenadines,218924,109360,109327,109334,109341,109316,109255,109165,109049,108908,108749,108563,108354,108150,107989,107897 
Europe,San Marino,,,,,,,,,,,29842,,,,,26841 
Africa,Sao Tome and Principe,,,,,,,,,,,,,,,, 
Middle East,Saudi Arabia,,,,,,,,,,,,,,,, 
Europe,Serbia,,7131787,7164132,7199077,7234099,7291436,7320807,7350222,7381579,7411569,7440769,7463157,7480591,7500031,7503433,7516346 
Africa,Seychelles,,91359,89949,88303,87440,93081,92360,91634,90841,89896,88747,87356,85765,84096,82519, 
Asia,Singapore,3902690,3870739,3844751,3818200,3789300,3771700,3733888,3642700,3583100,3608400,3543900,3484900,3438200,3382900,3325900,3273400 
Europe,Slovakia,,5418649,5413393,5407579,5398383,5431024,5418374,5406972,5397766,5391184,5387285,5382574,5378950,5378809,5379780,5400679 
Europe,Slovenia,2063077,2061623,2059114,2056262,2052496,2049261,2042335,2039399,2019406,2008516,2001114,1997004,1996773,1995718,1992035,1977229 
Africa,South Africa,,53969054,53416609,52837274,52237272,51621594,50992034,48793020,49693580,49027805,48352951,47667150,46971250,46272223,, 
Europe,Spain,,46455127,46593236,46766399,46125154,46072831,45929477,45593385,44873567,44068244,43398190,42691751,42004575,41314019,40614353,40173504 
Asia,Sri Lanka,,,,,,,,,,19672418,,,19217032,19061066,18914866,18783745 
South America,Suriname,,538248,533450,528535,523439,518141,512522,506657,500953,495953,491999,489312,487641,486271,484210,480751 
Europe,Sweden,9696110,9696110,9600379,9519375,9449213,9378126,9298515,9219638,9148092,9080505,9029572,8993531,8958229,8924958,8896127,8872294 
Europe,Switzerland,,,8089346,7996861,7912398,7824910,7743832,7647676,7551117,7483935,7437116,7389626,7339002,7313853,7260339,7209042 
Middle East,Syrian Arab Republic,,,,,,,,,,,,,,,, 
Asia,Tajikistan,,,,,,,,,,,,,,,, 
Europe,TFYR Macedonia,,2067471,2064032,2061044,2058539,2055004,2050671,2046898,2043559,2040228,2036855,2032544,2026773,2020157,2034882,2026400 
Asia,Thailand,,64955313,64621302,64266365,64181001,63701703,63457439,63214022,62933515,66174486,65863973,65404522,64817254,62554375,,62693322 
The Caribbean,Trinidad and Tobago,,,,,,1328095,1321624,1315372,1309260,1303141,1296933,1290535,1284052,1277840,1272383,1267980 
Africa,Tunisia,,,,,,,,,,,,,,,, 
Middle East,Turkey,,,76054617,75175827,74223629,73142150,72039206,,,,,,,,, 
Asia,Turkmenistan,,5307188,5240088,5172941,5106672,5041995,4978960,4917541,4858235,4801594,4747839,4696876,4648036,4600172,4551762,4501419 
The Caribbean,Turks and Caicos Islands,,,,,,,,,,,,,,,, 
Europe,Ukraine,,42831572,,45412987,45525731,45690386,45872976,46077834,46329000,46607431,46924816,47271271,47632594,47986270,48830244,49246400 
Middle East,United Arab Emirates,,,,,,8329453,7705423,6900142,6010100,5171255,4481976,,,,, 
Europe,United Kingdom,,,64105654,63705030,62820962,62261967,61791956,61383157,60975355,60587349,60238383,59845842,59557361,59323498,59050847,59703999 
Northern America,United States of America,,319448634,317135919,314799465,312390368,309876170,307231961,304473143,301579895,299398484,296410404,293655404,290810789,288368706,284796887,281421906 
South America,Uruguay,,3419516,3407969,3396753,,3374414,3362761,3350832,3339750,3331041,3325608,3324096,3325637,3327770,3327105,3321242 
Asia,Uzbekistan,,29469913,29033361,28592451,28158395,27739764,27338109,,,,26167020,25864386,25567664,25271833,24964433,24650415 
South America,Venezuela (Bolivarian Republic of),,,30276045,29854238,29427631,28995745,28558607,28116716,27670659,27221228,26769115,26314483,25857553,25399143,24940223,24481477 
The Caribbean,Virgin Islands (USA),,,,106174,106244,106382,106590,106859,107166,107477,107768,108028,108250,108417,108509,108511 
Africa,Zimbabwe,,,,,,,,,,,,,,,, 
World,Total reporting countries,,,,,,,,,,,,,,,, 
